Source.Name,Cell.Type,GEO_Accession (exp),sex,Strain,Dir
SRR2727569,E5.5 Epiblast,GSM1912378,female,male C57BL/6J x female C57BL/6J,./align/SRR2727569/SRR2727569_Aligned.sortedByCoord.out.bam
SRR2727570,E5.5 Epiblast,GSM1912379,female,male C57BL/6J x female C57BL/6J,./align/SRR2727570/SRR2727570_Aligned.sortedByCoord.out.bam
SRR2727571,E5.5 Epiblast,GSM1912380,female,male C57BL/6J x female C57BL/6J,./align/SRR2727571/SRR2727571_Aligned.sortedByCoord.out.bam
SRR2727572,E5.5 Epiblast,GSM1912381,female,male C57BL/6J x female C57BL/6J,./align/SRR2727572/SRR2727572_Aligned.sortedByCoord.out.bam
SRR2727573,E5.5 Epiblast,GSM1912382,female,male C57BL/6J x female C57BL/6J,./align/SRR2727573/SRR2727573_Aligned.sortedByCoord.out.bam
SRR2727574,E5.5 Epiblast,GSM1912383,female,male C57BL/6J x female C57BL/6J,./align/SRR2727574/SRR2727574_Aligned.sortedByCoord.out.bam
SRR2727575,E3.5 ICM,GSM1912384,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727575/SRR2727575_Aligned.sortedByCoord.out.bam
SRR2727576,E3.5 ICM,GSM1912385,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727576/SRR2727576_Aligned.sortedByCoord.out.bam
SRR2727577,E3.5 ICM,GSM1912386,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727577/SRR2727577_Aligned.sortedByCoord.out.bam
SRR2727578,E3.5 ICM,GSM1912387,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727578/SRR2727578_Aligned.sortedByCoord.out.bam
SRR2727579,E3.5 ICM,GSM1912388,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727579/SRR2727579_Aligned.sortedByCoord.out.bam
SRR2727580,E3.5 ICM,GSM1912389,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727580/SRR2727580_Aligned.sortedByCoord.out.bam
SRR2727581,E3.5 ICM,GSM1912390,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727581/SRR2727581_Aligned.sortedByCoord.out.bam
SRR2727582,E3.5 ICM,GSM1912391,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727582/SRR2727582_Aligned.sortedByCoord.out.bam
SRR2727583,E3.5 ICM,GSM1912392,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727583/SRR2727583_Aligned.sortedByCoord.out.bam
SRR2727584,E3.5 ICM,GSM1912393,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727584/SRR2727584_Aligned.sortedByCoord.out.bam
SRR2727585,E3.5 ICM,GSM1912394,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727585/SRR2727585_Aligned.sortedByCoord.out.bam
SRR2727586,E3.5 ICM,GSM1912395,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727586/SRR2727586_Aligned.sortedByCoord.out.bam
SRR2727587,E3.5 ICM,GSM1912396,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727587/SRR2727587_Aligned.sortedByCoord.out.bam
SRR2727588,E3.5 ICM,GSM1912397,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727588/SRR2727588_Aligned.sortedByCoord.out.bam
SRR2727589,E3.5 ICM,GSM1912398,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727589/SRR2727589_Aligned.sortedByCoord.out.bam
SRR2727590,E3.5 ICM,GSM1912399,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727590/SRR2727590_Aligned.sortedByCoord.out.bam
SRR2727591,E3.5 ICM,GSM1912400,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727591/SRR2727591_Aligned.sortedByCoord.out.bam
SRR2727592,E3.5 ICM,GSM1912401,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727592/SRR2727592_Aligned.sortedByCoord.out.bam
SRR2727593,E3.5 ICM,GSM1912402,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727593/SRR2727593_Aligned.sortedByCoord.out.bam
SRR2727594,E3.5 ICM,GSM1912403,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727594/SRR2727594_Aligned.sortedByCoord.out.bam
SRR2727595,E3.5 ICM,GSM1912404,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727595/SRR2727595_Aligned.sortedByCoord.out.bam
SRR2727596,E3.5 ICM,GSM1912405,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727596/SRR2727596_Aligned.sortedByCoord.out.bam
SRR2727597,E3.5 ICM,GSM1912406,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727597/SRR2727597_Aligned.sortedByCoord.out.bam
SRR2727598,E4.5 Epiblast,GSM1912407,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727598/SRR2727598_Aligned.sortedByCoord.out.bam
SRR2727599,E4.5 Epiblast,GSM1912408,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727599/SRR2727599_Aligned.sortedByCoord.out.bam
SRR2727600,E4.5 Epiblast,GSM1912409,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727600/SRR2727600_Aligned.sortedByCoord.out.bam
SRR2727601,E4.5 Epiblast,GSM1912410,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727601/SRR2727601_Aligned.sortedByCoord.out.bam
SRR2727602,E4.5 Epiblast,GSM1912411,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727602/SRR2727602_Aligned.sortedByCoord.out.bam
SRR2727603,E4.5 Epiblast,GSM1912412,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727603/SRR2727603_Aligned.sortedByCoord.out.bam
SRR2727604,E4.5 Epiblast,GSM1912413,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727604/SRR2727604_Aligned.sortedByCoord.out.bam
SRR2727605,E4.5 Epiblast,GSM1912414,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727605/SRR2727605_Aligned.sortedByCoord.out.bam
SRR2727606,E4.5 Epiblast,GSM1912415,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727606/SRR2727606_Aligned.sortedByCoord.out.bam
SRR2727607,E4.5 Epiblast,GSM1912416,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727607/SRR2727607_Aligned.sortedByCoord.out.bam
SRR2727608,E4.5 Epiblast,GSM1912417,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727608/SRR2727608_Aligned.sortedByCoord.out.bam
SRR2727609,E4.5 Epiblast,GSM1912418,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727609/SRR2727609_Aligned.sortedByCoord.out.bam
SRR2727610,E4.5 Epiblast,GSM1912419,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727610/SRR2727610_Aligned.sortedByCoord.out.bam
SRR2727611,E4.5 Epiblast,GSM1912420,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727611/SRR2727611_Aligned.sortedByCoord.out.bam
SRR2727612,E4.5 Epiblast,GSM1912421,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727612/SRR2727612_Aligned.sortedByCoord.out.bam
SRR2727613,E4.5 Epiblast,GSM1912422,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727613/SRR2727613_Aligned.sortedByCoord.out.bam
SRR2727614,E4.5 Epiblast,GSM1912423,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727614/SRR2727614_Aligned.sortedByCoord.out.bam
SRR2727615,E4.5 Epiblast,GSM1912424,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727615/SRR2727615_Aligned.sortedByCoord.out.bam
SRR2727616,E4.5 Epiblast,GSM1912425,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727616/SRR2727616_Aligned.sortedByCoord.out.bam
SRR2727617,E4.5 Epiblast,GSM1912426,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727617/SRR2727617_Aligned.sortedByCoord.out.bam
SRR2727618,E4.5 Epiblast,GSM1912427,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727618/SRR2727618_Aligned.sortedByCoord.out.bam
SRR2727619,E4.5 Epiblast,GSM1912428,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727619/SRR2727619_Aligned.sortedByCoord.out.bam
SRR2727620,E4.5 Epiblast,GSM1912429,NA,male CAST/EiJ x female C57BL/6J,./align/SRR2727620/SRR2727620_Aligned.sortedByCoord.out.bam
SRR3211906,Epi,GSM2083182,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211906/SRR3211906_Aligned.sortedByCoord.out.bam
SRR3211907,Epi,GSM2083183,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211907/SRR3211907_Aligned.sortedByCoord.out.bam
SRR3211908,Epi,GSM2083184,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211908/SRR3211908_Aligned.sortedByCoord.out.bam
SRR3211909,Epi,GSM2083185,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211909/SRR3211909_Aligned.sortedByCoord.out.bam
SRR3211910,Epi,GSM2083186,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211910/SRR3211910_Aligned.sortedByCoord.out.bam
SRR3211911,Epi,GSM2083187,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211911/SRR3211911_Aligned.sortedByCoord.out.bam
SRR3211912,Epi,GSM2083188,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211912/SRR3211912_Aligned.sortedByCoord.out.bam
SRR3211913,Epi,GSM2083189,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211913/SRR3211913_Aligned.sortedByCoord.out.bam
SRR3211914,Epi,GSM2083190,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211914/SRR3211914_Aligned.sortedByCoord.out.bam
SRR3211915,Epi,GSM2083191,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211915/SRR3211915_Aligned.sortedByCoord.out.bam
SRR3211916,Epi,GSM2083192,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211916/SRR3211916_Aligned.sortedByCoord.out.bam
SRR3211917,Epi,GSM2083193,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211917/SRR3211917_Aligned.sortedByCoord.out.bam
SRR3211918,Epi,GSM2083194,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211918/SRR3211918_Aligned.sortedByCoord.out.bam
SRR3211919,Epi,GSM2083195,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211919/SRR3211919_Aligned.sortedByCoord.out.bam
SRR3211920,Epi,GSM2083196,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211920/SRR3211920_Aligned.sortedByCoord.out.bam
SRR3211921,Epi,GSM2083197,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211921/SRR3211921_Aligned.sortedByCoord.out.bam
SRR3211922,Epi,GSM2083198,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211922/SRR3211922_Aligned.sortedByCoord.out.bam
SRR3211923,Epi,GSM2083199,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211923/SRR3211923_Aligned.sortedByCoord.out.bam
SRR3211924,Epi,GSM2083200,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211924/SRR3211924_Aligned.sortedByCoord.out.bam
SRR3211925,Epi,GSM2083201,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211925/SRR3211925_Aligned.sortedByCoord.out.bam
SRR3211926,Epi,GSM2083202,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211926/SRR3211926_Aligned.sortedByCoord.out.bam
SRR3211927,Epi,GSM2083203,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211927/SRR3211927_Aligned.sortedByCoord.out.bam
SRR3211928,Epi,GSM2083204,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211928/SRR3211928_Aligned.sortedByCoord.out.bam
SRR3211929,Epi,GSM2083205,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211929/SRR3211929_Aligned.sortedByCoord.out.bam
SRR3211930,Epi,GSM2083206,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211930/SRR3211930_Aligned.sortedByCoord.out.bam
SRR3211931,Epi,GSM2083207,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211931/SRR3211931_Aligned.sortedByCoord.out.bam
SRR3211932,Epi,GSM2083208,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211932/SRR3211932_Aligned.sortedByCoord.out.bam
SRR3211933,Epi,GSM2083209,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211933/SRR3211933_Aligned.sortedByCoord.out.bam
SRR3211934,Epi,GSM2083210,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211934/SRR3211934_Aligned.sortedByCoord.out.bam
SRR3211935,Epi,GSM2083211,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211935/SRR3211935_Aligned.sortedByCoord.out.bam
SRR3211936,Epi,GSM2083212,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211936/SRR3211936_Aligned.sortedByCoord.out.bam
SRR3211937,Epi,GSM2083213,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211937/SRR3211937_Aligned.sortedByCoord.out.bam
SRR3211938,Epi,GSM2083214,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211938/SRR3211938_Aligned.sortedByCoord.out.bam
SRR3211939,Epi,GSM2083215,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211939/SRR3211939_Aligned.sortedByCoord.out.bam
SRR3211940,Epi,GSM2083216,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211940/SRR3211940_Aligned.sortedByCoord.out.bam
SRR3211941,Epi,GSM2083217,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211941/SRR3211941_Aligned.sortedByCoord.out.bam
SRR3211942,Epi,GSM2083218,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211942/SRR3211942_Aligned.sortedByCoord.out.bam
SRR3211943,Epi,GSM2083219,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211943/SRR3211943_Aligned.sortedByCoord.out.bam
SRR3211944,Epi,GSM2083220,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211944/SRR3211944_Aligned.sortedByCoord.out.bam
SRR3211945,Epi,GSM2083221,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211945/SRR3211945_Aligned.sortedByCoord.out.bam
SRR3211946,Epi,GSM2083222,female,male CAST/EiJ x female C57BL/6J,./align/SRR3211946/SRR3211946_Aligned.sortedByCoord.out.bam
SRR2727165,ES,GSM1911968,male,male CAST/EiJ x female C57BL/6J,./align/SRR2727165/SRR2727165_Aligned.sortedByCoord.out.bam
SRR2727199,ES,GSM1912002,male,male CAST/EiJ x female C57BL/6J,./align/SRR2727199/SRR2727199_Aligned.sortedByCoord.out.bam
SRR2727235,ES,GSM1912038,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727235/SRR2727235_Aligned.sortedByCoord.out.bam
SRR2727236,ES,GSM1912039,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727236/SRR2727236_Aligned.sortedByCoord.out.bam
SRR2727237,ES,GSM1912040,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727237/SRR2727237_Aligned.sortedByCoord.out.bam
SRR2727238,ES,GSM1912041,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727238/SRR2727238_Aligned.sortedByCoord.out.bam
SRR2727239,ES,GSM1912042,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727239/SRR2727239_Aligned.sortedByCoord.out.bam
SRR2727240,ES,GSM1912043,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727240/SRR2727240_Aligned.sortedByCoord.out.bam
SRR2727241,ES,GSM1912044,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727241/SRR2727241_Aligned.sortedByCoord.out.bam
SRR2727242,ES,GSM1912045,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727242/SRR2727242_Aligned.sortedByCoord.out.bam
SRR2727243,ES,GSM1912046,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727243/SRR2727243_Aligned.sortedByCoord.out.bam
SRR2727244,ES,GSM1912047,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727244/SRR2727244_Aligned.sortedByCoord.out.bam
SRR2727245,ES,GSM1912048,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727245/SRR2727245_Aligned.sortedByCoord.out.bam
SRR2727246,ES,GSM1912049,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727246/SRR2727246_Aligned.sortedByCoord.out.bam
SRR2727247,ES,GSM1912050,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727247/SRR2727247_Aligned.sortedByCoord.out.bam
SRR2727248,ES,GSM1912051,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727248/SRR2727248_Aligned.sortedByCoord.out.bam
SRR2727249,ES,GSM1912052,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727249/SRR2727249_Aligned.sortedByCoord.out.bam
SRR2727250,ES,GSM1912053,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727250/SRR2727250_Aligned.sortedByCoord.out.bam
SRR2727251,ES,GSM1912054,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727251/SRR2727251_Aligned.sortedByCoord.out.bam
SRR2727252,ES,GSM1912055,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727252/SRR2727252_Aligned.sortedByCoord.out.bam
SRR2727253,ES,GSM1912056,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727253/SRR2727253_Aligned.sortedByCoord.out.bam
SRR2727254,ES,GSM1912057,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727254/SRR2727254_Aligned.sortedByCoord.out.bam
SRR2727255,ES,GSM1912058,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727255/SRR2727255_Aligned.sortedByCoord.out.bam
SRR2727256,ES,GSM1912059,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727256/SRR2727256_Aligned.sortedByCoord.out.bam
SRR2727257,ES,GSM1912060,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727257/SRR2727257_Aligned.sortedByCoord.out.bam
SRR2727258,ES,GSM1912061,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727258/SRR2727258_Aligned.sortedByCoord.out.bam
SRR2727259,ES,GSM1912062,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727259/SRR2727259_Aligned.sortedByCoord.out.bam
SRR2727260,ES,GSM1912063,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727260/SRR2727260_Aligned.sortedByCoord.out.bam
SRR2727261,ES,GSM1912064,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727261/SRR2727261_Aligned.sortedByCoord.out.bam
SRR2727262,ES,GSM1912065,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727262/SRR2727262_Aligned.sortedByCoord.out.bam
SRR2727263,ES,GSM1912066,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727263/SRR2727263_Aligned.sortedByCoord.out.bam
SRR2727264,ES,GSM1912067,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727264/SRR2727264_Aligned.sortedByCoord.out.bam
SRR2727265,ES,GSM1912068,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727265/SRR2727265_Aligned.sortedByCoord.out.bam
SRR2727266,ES,GSM1912069,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727266/SRR2727266_Aligned.sortedByCoord.out.bam
SRR2727267,ES,GSM1912070,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727267/SRR2727267_Aligned.sortedByCoord.out.bam
SRR2727268,ES,GSM1912071,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727268/SRR2727268_Aligned.sortedByCoord.out.bam
SRR2727269,ES,GSM1912072,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727269/SRR2727269_Aligned.sortedByCoord.out.bam
SRR2727270,ES,GSM1912073,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727270/SRR2727270_Aligned.sortedByCoord.out.bam
SRR2727271,ES,GSM1912074,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727271/SRR2727271_Aligned.sortedByCoord.out.bam
SRR2727272,ES,GSM1912075,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727272/SRR2727272_Aligned.sortedByCoord.out.bam
SRR2727273,ES,GSM1912076,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727273/SRR2727273_Aligned.sortedByCoord.out.bam
SRR2727274,ES,GSM1912077,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727274/SRR2727274_Aligned.sortedByCoord.out.bam
SRR2727275,ES,GSM1912078,female,male CAST/EiJ x female C57BL/6J,./align/SRR2727275/SRR2727275_Aligned.sortedByCoord.out.bam
